#,Subjects,Start date,Close Date
11582,Sip booster functionality ,08-Mar-21,11-May-21
11569,No of installments are displayed wrong for ISIP,15-Mar-21,
11553,Values for selected scheme displayed as previous scheme,17-Feb-21,25-Aug-21
11544,Page displays boxes in red,03-Mar-21,18-May-21
11505,Portfolio details view,04-Mar-21,28-Apr-21
11498,"For scheme wise and foliowise portfolio details, wrong data is displayed ",08-Mar-21,06-May-21
11483,HUF ,15-Mar-21,15-Jul-21
11158,STP page goes blank ,19-Mar-21,20-Mar-21
10785,Page displays Transaction error : undefined for Invest on payment page,16-Mar-21,20-Mar-21
10635,Bottom page is displayed when redirected to payment,12-Mar-21,12-Mar-21
10539,Guardian name field should be non editable ,10-Mar-21,12-Mar-21
10538,Minor and guardian pan accepts invalid pan ,10-Mar-21,17-Mar-21
10504,Loader missing ,10-Mar-21,17-Mar-21
10502,Scroll bar for onboarding page ,10-Mar-21,19-Mar-21
10245,User is not able to click on Submit button,08-Mar-21,10-Mar-21
10049,"In guardian details page , DOB field accepts future date",04-Mar-21,10-Mar-21
10045,No validation message is given for DOB field ,04-Mar-21,10-Mar-21
10022,Account number accepts more than 18 digits,03-Mar-21,10-Mar-21
9988,Continue to KYC button is missing ,03-Mar-21,10-Mar-21
